"rules","support","confidence","lift","count"
"1","{white-legging} => {beige-blouse}",0.00111856823266219,0.428571428571429,3.73191094619666,3
"2","{orange-skirt} => {beige-T-shirt}",0.00111856823266219,0.272727272727273,3.04772727272727,3
"3","{aqua-T-shirt} => {beige-skirt}",0.00111856823266219,0.3,5.5875,3
"4","{aqua-shorts} => {navy-blouse}",0.00111856823266219,0.230769230769231,14.3935599284436,3
"5","{aqua-shorts} => {white-blouse}",0.00111856823266219,0.230769230769231,4.72460364063418,3
"6","{beige-jeans} => {beige-blouse}",0.00149142431021626,0.307692307692308,2.67932067932068,4
"7","{silver-jeans} => {beige-blazer}",0.00111856823266219,0.25,7.98214285714286,3
"8","{silver-jeans} => {beige-T-shirt}",0.00111856823266219,0.25,2.79375,3
"9","{yellow-skirt} => {beige-blouse}",0.00223713646532438,0.428571428571429,3.73191094619666,6
"10","{gold-skirt} => {beige-T-shirt}",0.00149142431021626,0.266666666666667,2.98,4
"11","{silver-pants} => {silver-T-shirt}",0.00111856823266219,0.230769230769231,4.29807692307692,3
"12","{navy-pants} => {white-blouse}",0.00149142431021626,0.266666666666667,5.45954198473282,4
"13","{navy-pants} => {beige-blouse}",0.00111856823266219,0.2,1.74155844155844,3
"14","{teal-sweater} => {beige-skirt}",0.00111856823266219,0.214285714285714,3.99107142857143,3
"15","{teal-coat} => {beige-dress}",0.00111856823266219,0.2,3.64897959183673,3
"16","{navy-legging} => {beige-T-shirt}",0.00149142431021626,0.285714285714286,3.19285714285714,4
"17","{olive-skirt} => {silver-blouse}",0.00149142431021626,0.235294117647059,3.89542483660131,4
"18","{red-shorts} => {white-blouse}",0.00111856823266219,0.176470588235294,3.61293219577907,3
"19","{red-shorts} => {white-T-shirt}",0.00111856823266219,0.176470588235294,2.86844919786096,3
"20","{teal-legging} => {silver-blouse}",0.00223713646532438,0.352941176470588,5.84313725490196,6
"21","{red-legging} => {silver-T-shirt}",0.00111856823266219,0.166666666666667,3.10416666666667,3
"22","{aqua-skirt} => {beige-T-shirt}",0.00111856823266219,0.15,1.67625,3
"23","{silver-legging} => {beige-sweater}",0.00111856823266219,0.176470588235294,7.2814479638009,3
"24","{silver-legging} => {beige-T-shirt}",0.00111856823266219,0.176470588235294,1.97205882352941,3
"25","{silver-legging} => {beige-blouse}",0.00149142431021626,0.235294117647059,2.0488922841864,4
"26","{gray-legging} => {gray-T-shirt}",0.00111856823266219,0.157894736842105,5.80100937274694,3
"27","{gray-legging} => {black-T-shirt}",0.00149142431021626,0.210526315789474,5.64631578947368,4
"28","{gray-legging} => {white-T-shirt}",0.00111856823266219,0.157894736842105,2.56650717703349,3
"29","{gray-legging} => {beige-blouse}",0.00111856823266219,0.157894736842105,1.37491455912509,3
"30","{aqua-blouse} => {navy-skirt}",0.00149142431021626,0.181818181818182,6.02020202020202,4
"31","{aqua-blouse} => {black-skirt}",0.00111856823266219,0.136363636363636,2.81328671328671,3
"32","{beige-pants} => {gray-blouse}",0.00149142431021626,0.19047619047619,6.22996515679442,4
"33","{beige-pants} => {black-T-shirt}",0.00111856823266219,0.142857142857143,3.83142857142857,3
"34","{beige-pants} => {beige-T-shirt}",0.00186428038777032,0.238095238095238,2.66071428571429,5
"35","{beige-pants} => {beige-blouse}",0.00111856823266219,0.142857142857143,1.24397031539889,3
"36","{teal-T-shirt} => {silver-skirt}",0.00111856823266219,0.142857142857143,6.96623376623377,3
"37","{white-blazer} => {white-blouse}",0.00111856823266219,0.166666666666667,3.41221374045802,3
"38","{white-blazer} => {silver-T-shirt}",0.00111856823266219,0.166666666666667,3.10416666666667,3
"39","{purple-skirt} => {silver-T-shirt}",0.00149142431021626,0.166666666666667,3.10416666666667,4
"40","{purple-skirt} => {white-T-shirt}",0.00111856823266219,0.125,2.03181818181818,3
"41","{purple-skirt} => {beige-T-shirt}",0.00149142431021626,0.166666666666667,1.8625,4
"42","{maroon-sweater} => {black-skirt}",0.00111856823266219,0.142857142857143,2.94725274725275,3
"43","{silver-blazer} => {gray-shorts}",0.00111856823266219,0.15,4.78928571428571,3
"44","{silver-blazer} => {silver-T-shirt}",0.00111856823266219,0.15,2.79375,3
"45","{silver-blazer} => {beige-T-shirt}",0.00149142431021626,0.2,2.235,4
"46","{teal-blazer} => {silver-T-shirt}",0.00149142431021626,0.2,3.725,4
"47","{teal-blazer} => {beige-T-shirt}",0.00111856823266219,0.15,1.67625,3
"48","{teal-blouse} => {black-skirt}",0.00111856823266219,0.12,2.47569230769231,3
"49","{white-shorts} => {beige-sweater}",0.00111856823266219,0.111111111111111,4.58461538461538,3
"50","{white-shorts} => {white-T-shirt}",0.00111856823266219,0.111111111111111,1.80606060606061,3
"51","{beige-legging} => {beige-T-shirt}",0.00149142431021626,0.166666666666667,1.8625,4
"52","{beige-legging} => {beige-blouse}",0.00223713646532438,0.25,2.17694805194805,6
"53","{teal-jeans} => {white-blouse}",0.00111856823266219,0.115384615384615,2.36230182031709,3
"54","{teal-jeans} => {white-T-shirt}",0.00111856823266219,0.115384615384615,1.87552447552448,3
"55","{teal-jeans} => {beige-T-shirt}",0.00260999254287845,0.269230769230769,3.00865384615385,7
"56","{teal-jeans} => {beige-blouse}",0.00111856823266219,0.115384615384615,1.00474525474525,3
"57","{gray-dress} => {beige-coat}",0.00186428038777032,0.125,4.53040540540541,5
"58","{gray-jeans} => {black-coat}",0.00111856823266219,0.125,5.32142857142857,3
"59","{gray-jeans} => {silver-T-shirt}",0.00111856823266219,0.125,2.328125,3
"60","{gray-jeans} => {beige-blouse}",0.00111856823266219,0.125,1.08847402597403,3
"61","{silver-coat} => {black-jeans}",0.00111856823266219,0.125,7.98214285714286,3
"62","{maroon-pants} => {gray-blouse}",0.00149142431021626,0.148148148148148,4.84552845528455,4
"63","{maroon-pants} => {silver-T-shirt}",0.00149142431021626,0.148148148148148,2.75925925925926,4
"64","{maroon-pants} => {beige-blouse}",0.00223713646532438,0.222222222222222,1.93506493506494,6
